title,doi,loadDate,openAccess,firstPage,lastPage,pii,publicationDate,sourceTitle,uri,authors,File Attachments
Improved CO2 adsorption and desorption using chemically derived activated carbon from corn cob hard shell,10.1016/j.cartre.2025.100495,2025-03-23T00:00:00.000Z,True,100495,100495,S2667056925000458,2025-04-30,Carbon Trends,https://www.sciencedirect.com/science/article/pii/S2667056925000458?dgcid=api_sd_search-api-endpoint,"Mirana Tahsin, M. Shahinuzzaman, Mosharof Hossain",10_1016_j_cartre_2025_100495_full_text.md
Obtaining both high CO2 adsorption capacity and CO2/N2 selectivity via blocking N2 adsorption sites by grafting bulky diamine on metal–organic framework,10.1016/j.fuel.2025.135143,2025-03-22T00:00:00.000Z,False,135143,135143,S0016236125008683,2025-08-15,Fuel,https://www.sciencedirect.com/science/article/pii/S0016236125008683?dgcid=api_sd_search-api-endpoint,"Gyudong Lee, Sung Hwa Jhung",10_1016_j_fuel_2025_135143_full_text.md
Carbonaceous integration into Faujasite supercages for high CO2-selective adsorption potential in DAC applications,10.1016/j.jece.2025.116272,2025-03-22T00:00:00.000Z,False,116272,116272,S2213343725009686,2025-06-30,Journal of Environmental Chemical Engineering,https://www.sciencedirect.com/science/article/pii/S2213343725009686?dgcid=api_sd_search-api-endpoint,"Wathone Oo, Ji Hye Park, Kwang Bok Yi",10_1016_j_jece_2025_116272_full_text.md
Green and efficient epoxide fixation and CO2 separation using halogen-decorated Zr-based UiO-67 MOFs,10.1016/j.mcat.2025.115045,2025-03-22T00:00:00.000Z,False,115045,115045,S2468823125002317,2025-05-15,Molecular Catalysis,https://www.sciencedirect.com/science/article/pii/S2468823125002317?dgcid=api_sd_search-api-endpoint,"Majed S. AlFayi, Farag M. A. Altalbawy, Fadhel F. Sead",10_1016_j_mcat_2025_115045_full_text.md
Self S-doped porous carbon from polyphenylene sulfide: Kinetic and thermodynamic study of CO2 adsorption and separation performance,10.1016/j.cej.2025.161861,2025-03-21T00:00:00.000Z,False,161861,161861,S1385894725026877,2025-04-15,Chemical Engineering Journal,https://www.sciencedirect.com/science/article/pii/S1385894725026877?dgcid=api_sd_search-api-endpoint,"Afdhal Junaidi, Dini Nirmala Nilamsari, Nurul Widiastuti",10_1016_j_cej_2025_161861_full_text.md
A fluorinated terephthalate-based pacs metal-organic framework with Ni3O nodes for efficient C2H2/CO2 separation,10.1016/j.inoche.2025.114381,2025-03-21T00:00:00.000Z,False,114381,114381,S1387700325004976,2025-07-31,Inorganic Chemistry Communications,https://www.sciencedirect.com/science/article/pii/S1387700325004976?dgcid=api_sd_search-api-endpoint,"Na Wang, Xuexue Fu, Yong-Zheng Zhang",10_1016_j_inoche_2025_114381_full_text.md
Hierarchical synthesis of multi-layer graphene-like and nitrogen-doped graphitized carbon from dead leaf biomass for high-performance energy storage and CO₂ capture,10.1016/j.jtice.2025.106100,2025-03-20T00:00:00.000Z,False,106100,106100,S1876107025001531,2025-07-31,Journal of the Taiwan Institute of Chemical Engineers,https://www.sciencedirect.com/science/article/pii/S1876107025001531?dgcid=api_sd_search-api-endpoint,"Raman Arunpandian, Mohanraj Kumar, Jih-Hsing Chang",10_1016_j_jtice_2025_106100_full_text.md
Molecular-level elucidation of residual hydrocarbon effects on hydrogen adsorption and distribution in geological minerals,10.1016/j.molliq.2025.127422,2025-03-19T00:00:00.000Z,True,127422,127422,S0167732225005896,2025-06-01,Journal of Molecular Liquids,https://www.sciencedirect.com/science/article/pii/S0167732225005896?dgcid=api_sd_search-api-endpoint,"Temoor Muther, Amirmasoud Kalantari Dahaghi",10_1016_j_molliq_2025_127422_full_text.md
Experimental investigation of fluidity and CO2 adsorption performance of novel SiO2/FCC-coated date-seeds derived activated carbon,10.1016/j.jece.2025.116218,2025-03-19T00:00:00.000Z,False,116218,116218,S2213343725009145,2025-06-30,Journal of Environmental Chemical Engineering,https://www.sciencedirect.com/science/article/pii/S2213343725009145?dgcid=api_sd_search-api-endpoint,"Masoumeh Lotfinezhad, Maryam Tahmasebpoor",10_1016_j_jece_2025_116218_full_text.md
"Co and N para-doping modulates the electronic structure of CdIn2S4 to enhance CO2 adsorption, activation and photocatalytic reduction",10.1016/j.apcatb.2025.125275,2025-03-18T00:00:00.000Z,False,125275,125275,S0926337325002589,2025-08-15,Applied Catalysis B: Environment and Energy,https://www.sciencedirect.com/science/article/pii/S0926337325002589?dgcid=api_sd_search-api-endpoint,"Yi Liu, Yujia Liu, Shuangfei Wang",10_1016_j_apcatb_2025_125275_full_text.md
Efficient CO2 capture by a defect-driven O/N co-doped ultramicroporous carbon derived from plastics and biomass solid wastes,10.1016/j.seppur.2025.132585,2025-03-17T00:00:00.000Z,False,132585,132585,S1383586625011827,2025-08-30,Separation and Purification Technology,https://www.sciencedirect.com/science/article/pii/S1383586625011827?dgcid=api_sd_search-api-endpoint,"Tieyue Qi, Shuai Liu, Lidong Wang",10_1016_j_seppur_2025_132585_full_text.md
Dual-functionally N-doped porous carbon synthesized from Liquidambaris fructus and melamine-formaldehyde resin for high-performance CO2 adsorption and supercapacitors,10.1016/j.cej.2025.161700,2025-03-17T00:00:00.000Z,False,161700,161700,S1385894725025227,2025-04-15,Chemical Engineering Journal,https://www.sciencedirect.com/science/article/pii/S1385894725025227?dgcid=api_sd_search-api-endpoint,"Jialong Geng, Yu Shu, Yehua Shen",10_1016_j_cej_2025_161700_full_text.md
"Computational modeling of CO2 adsorption on the activated biochars derived from biomasses: Implications for energy, environment, and climate change",10.1016/j.biombioe.2025.107791,2025-03-15T00:00:00.000Z,False,107791,107791,S0961953425002028,2025-06-30,Biomass and Bioenergy,https://www.sciencedirect.com/science/article/pii/S0961953425002028?dgcid=api_sd_search-api-endpoint,"Ahmad A. Adewunmi, Sani I. Abba, Sunday O. Olatunji",10_1016_j_biombioe_2025_107791_full_text.md
Nitrogen-doped composite aerogels from ZIF-8 derived porous carbon and chitosan for CO2 adsorption,10.1016/j.cjche.2025.01.009,2025-03-14T00:00:00.000Z,False,,,S1004954125000837,2025-03-14,Chinese Journal of Chemical Engineering,https://www.sciencedirect.com/science/article/pii/S1004954125000837?dgcid=api_sd_search-api-endpoint,"Xiaoqian Peng, Shaojun Liu, Serguei Filatov",10_1016_j_cjche_2025_01_009_full_text.md
Amine-functionalisation of Ni-DOBDC MOF for CO2 adsorption,10.1016/j.inoche.2025.114319,2025-03-12T00:00:00.000Z,False,114319,114319,S1387700325004356,2025-06-30,Inorganic Chemistry Communications,https://www.sciencedirect.com/science/article/pii/S1387700325004356?dgcid=api_sd_search-api-endpoint,"Putri Andini, Irena Khatrin, Yuni Krisyuningsih Krisnandi",10_1016_j_inoche_2025_114319_full_text.md
Preparation of activated carbon from Moroccan argan press cake using KOH activation and its application for CO2 adsorption,10.1016/j.fuel.2025.134922,2025-03-11T00:00:00.000Z,False,134922,134922,S0016236125006465,2025-08-01,Fuel,https://www.sciencedirect.com/science/article/pii/S0016236125006465?dgcid=api_sd_search-api-endpoint,"El Habib Yahia, Jarosław Serafin, Mohammed Ouzzine",10_1016_j_fuel_2025_134922_full_text.md
Role of silanol groups and hydrothermal rehydroxylation on the functionalization of SBA-15 with APTES for CO2 capture,10.1016/j.micromeso.2025.113597,2025-03-11T00:00:00.000Z,False,113597,113597,S1387181125001118,2025-05-15,Microporous and Mesoporous Materials,https://www.sciencedirect.com/science/article/pii/S1387181125001118?dgcid=api_sd_search-api-endpoint,"Reyna Ojeda-López, J. Marcos Esparza-Schulz, Enrique Rodriguez-Castellón",10_1016_j_micromeso_2025_113597_full_text.md
Study on phase transformation and dealkalization of red mud in NaOH-Ca(OH)2 system and CO2 adsorption performance of dealkalization residue,10.1016/j.psep.2025.107012,2025-03-10T00:00:00.000Z,False,107012,107012,S0957582025002794,2025-05-31,Process Safety and Environmental Protection,https://www.sciencedirect.com/science/article/pii/S0957582025002794?dgcid=api_sd_search-api-endpoint,"Wenbao Liu, Rui Ding, Qin Zhang",10_1016_j_psep_2025_107012_full_text.md
Dual-function ZnO/CeO2 photocatalyst for simultaneous methane decomposition and CO2 adsorption at room temperature,10.1016/j.cej.2025.161408,2025-03-10T00:00:00.000Z,True,161408,161408,S1385894725022302,2025-04-01,Chemical Engineering Journal,https://www.sciencedirect.com/science/article/pii/S1385894725022302?dgcid=api_sd_search-api-endpoint,"Sho Usuki, Masashi Morita, Kazuya Nakata",10_1016_j_cej_2025_161408_full_text.md
Investigation of the decarbonization performance of K2CO3/ZrO2 adsorbent for direct air capture,10.1016/j.cej.2025.161420,2025-03-09T00:00:00.000Z,False,161420,161420,S1385894725022429,2025-04-01,Chemical Engineering Journal,https://www.sciencedirect.com/science/article/pii/S1385894725022429?dgcid=api_sd_search-api-endpoint,"Zhuang Qi, Xiaoping Chen, Daoyin Liu",10_1016_j_cej_2025_161420_full_text.md
"Graphitization of olive mill waste biomass by pyrolysis for H2, CH4 and CO2 gas detection",10.1016/j.mseb.2025.118193,2025-03-05T00:00:00.000Z,True,118193,118193,S0921510725002168,2025-07-31,Materials Science and Engineering: B,https://www.sciencedirect.com/science/article/pii/S0921510725002168?dgcid=api_sd_search-api-endpoint,"Amira Siai, Mariem Ben Abdallah, Alfonso Policicchio",10_1016_j_mseb_2025_118193_full_text.md
Recent advances in CO2 solid adsorbents and application prospect in biofuel production,10.1016/j.rser.2025.115560,2025-03-04T00:00:00.000Z,False,115560,115560,S1364032125002333,2025-05-31,Renewable and Sustainable Energy Reviews,https://www.sciencedirect.com/science/article/pii/S1364032125002333?dgcid=api_sd_search-api-endpoint,"Ke Bian, Yongjun Liu, Xinde Chen",10_1016_j_rser_2025_115560_full_text.md
Modulating the d-band center of NNU-55(Fe) for enhanced CO2 adsorption and photocatalytic activity,10.1016/j.actphy.2025.100074,2025-03-01T00:00:00.000Z,False,100074,100074,S100068182500030X,2025-07-31,Acta Physico-Chimica Sinica,https://www.sciencedirect.com/science/article/pii/S100068182500030X?dgcid=api_sd_search-api-endpoint,"Xueqi Yang, Juntao Zhao, Jun Zhang",10_1016_j_actphy_2025_100074_full_text.md
Challenges and insights in CO2 adsorption using N-doped carbons under realistic conditions,10.1016/j.envres.2025.121211,2025-02-25T00:00:00.000Z,True,121211,121211,S0013935125004621,2025-05-15,Environmental Research,https://www.sciencedirect.com/science/article/pii/S0013935125004621?dgcid=api_sd_search-api-endpoint,"R. Morales-Ospino, L. Reinert, V. Fierro",10_1016_j_envres_2025_121211_full_text.md
Experimental investigation of CO₂ adsorption capacities in bimetallic-doped UiO-66 and UiO-66-NH2 frameworks,10.1016/j.colsurfa.2025.136524,2025-02-25T00:00:00.000Z,False,136524,136524,S092777572500425X,2025-05-20,Colloids and Surfaces A: Physicochemical and Engineering Aspects,https://www.sciencedirect.com/science/article/pii/S092777572500425X?dgcid=api_sd_search-api-endpoint,"Zhang Yongjia, Md. Amirul Islam, Bidyut Baran Saha",10_1016_j_colsurfa_2025_136524_full_text.md
MXenes-based materials for CO2 capture and conversion: A comprehensive review,10.1016/j.rser.2025.115524,2025-02-25T00:00:00.000Z,False,115524,115524,S1364032125001972,2025-05-31,Renewable and Sustainable Energy Reviews,https://www.sciencedirect.com/science/article/pii/S1364032125001972?dgcid=api_sd_search-api-endpoint,"Umer Aizaz, Intisar Ul Hassan, Sagheer A. Onaizi",10_1016_j_rser_2025_115524_full_text.md
Recognition-enrichment-in-situ degradation of p-chlorophenol by Fe-IL@UIO-66,10.1016/j.jphotochem.2025.116347,2025-02-21T00:00:00.000Z,False,116347,116347,S1010603025000875,2025-08-01,Journal of Photochemistry and Photobiology A: Chemistry,https://www.sciencedirect.com/science/article/pii/S1010603025000875?dgcid=api_sd_search-api-endpoint,"Yanhao Xu, Ziyi Zhong, Xinliang Liu",10_1016_j_jphotochem_2025_116347_full_text.md
Bismuth-induced oxygen vacancies on CuO/Cu2O nanospheres for selective and active electrchemical CO2 reduction to C2H4,10.1016/j.surfin.2025.106074,2025-02-20T00:00:00.000Z,False,106074,106074,S2468023025003347,2025-03-01,Surfaces and Interfaces,https://www.sciencedirect.com/science/article/pii/S2468023025003347?dgcid=api_sd_search-api-endpoint,"Hao Lan, Binhao Shen, Hengcong Tao",10_1016_j_surfin_2025_106074_full_text.md
Self-powered sensing potential in CO2 adsorption-desorption processes,10.1016/j.susmat.2025.e01293,2025-02-16T00:00:00.000Z,False,e01293,e01293,S2214993725000612,2025-04-30,Sustainable Materials and Technologies,https://www.sciencedirect.com/science/article/pii/S2214993725000612?dgcid=api_sd_search-api-endpoint,"Qiyu Li, Jun Shen, Lei Jiang",10_1016_j_susmat_2025_e01293_full_text.md
"On CO2 capture capacity and mechanisms for zeolite templated carbon, MOF-199, and 13X zeolite in dry and humid conditions",10.1016/j.seppur.2025.132080,2025-02-15T00:00:00.000Z,False,132080,132080,S138358662500677X,2025-08-14,Separation and Purification Technology,https://www.sciencedirect.com/science/article/pii/S138358662500677X?dgcid=api_sd_search-api-endpoint,"Kaijie Xuan, Longchun Zhong, Wei-Ping Pan",10_1016_j_seppur_2025_132080_full_text.md
Enhancing CO2 adsorption in hierarchical carbon aerogels via deep eutectic solvent-encapsulated carbon source pyrolysis,10.1016/j.jece.2025.115789,2025-02-13T00:00:00.000Z,False,115789,115789,S2213343725004841,2025-04-30,Journal of Environmental Chemical Engineering,https://www.sciencedirect.com/science/article/pii/S2213343725004841?dgcid=api_sd_search-api-endpoint,"Haosheng Ma, Baolu Cui, Zhiyuan Yang",10_1016_j_jece_2025_115789_full_text.md
Recent advances and challenges in solid sorbents for CO2 capture,10.1016/j.ccst.2025.100386,2025-02-13T00:00:00.000Z,True,100386,100386,S2772656825000260,2025-06-30,Carbon Capture Science & Technology,https://www.sciencedirect.com/science/article/pii/S2772656825000260?dgcid=api_sd_search-api-endpoint,"Hamid Zentou, Bosirul Hoque, Mahmoud M. Abdelnaby",10_1016_j_ccst_2025_100386_full_text.md
Construction of low-energy regenerative bagasse-based carbon capture material for high efficiency CO2 capture,10.1016/j.jcis.2025.02.070,2025-02-12T00:00:00.000Z,False,261,270,S0021979725004242,2025-06-30,Journal of Colloid and Interface Science,https://www.sciencedirect.com/science/article/pii/S0021979725004242?dgcid=api_sd_search-api-endpoint,"Lianlong Zhan, Wei Lu, Hui He",10_1016_j_jcis_2025_02_070_full_text.md
"Recent advances in Metal-Organic Framework-Based fiber optic sensors and Photodetectors: Synthesis, Properties, and applications",10.1016/j.cej.2025.160543,2025-02-12T00:00:00.000Z,False,160543,160543,S1385894725013646,2025-03-01,Chemical Engineering Journal,https://www.sciencedirect.com/science/article/pii/S1385894725013646?dgcid=api_sd_search-api-endpoint," Jyoti, Taposhree Dutta, Satyendra K. Mishra",10_1016_j_cej_2025_160543_full_text.md
Modified porous carbon from waste printed circuit boards for enhanced adsorption of carbon dioxide in abandoned mines,10.1016/j.jece.2025.115790,2025-02-12T00:00:00.000Z,False,115790,115790,S2213343725004853,2025-04-30,Journal of Environmental Chemical Engineering,https://www.sciencedirect.com/science/article/pii/S2213343725004853?dgcid=api_sd_search-api-endpoint,"Jacob Rubel, Xinyu Guo, Veerle Vandeginste",10_1016_j_jece_2025_115790_full_text.md
CO2 adsorption behavior and mechanism of bifunctionalized amine-based protic ionic liquid/KIT-6 composites,10.1016/j.colsurfa.2025.136389,2025-02-10T00:00:00.000Z,False,136389,136389,S0927775725002900,2025-04-20,Colloids and Surfaces A: Physicochemical and Engineering Aspects,https://www.sciencedirect.com/science/article/pii/S0927775725002900?dgcid=api_sd_search-api-endpoint,"Shuting Zhang, Jianwen Wei, Lei Liao",10_1016_j_colsurfa_2025_136389_full_text.md
Optimization and performance prediction of carbon dioxide adsorption on chitosan/activated carbon/epichlorohydrin composite materials using Box–Behnken design and artificial neural network approaches,10.1016/j.cscee.2025.101144,2025-02-10T00:00:00.000Z,True,101144,101144,S2666016425000519,2025-06-30,Case Studies in Chemical and Environmental Engineering,https://www.sciencedirect.com/science/article/pii/S2666016425000519?dgcid=api_sd_search-api-endpoint,"Vorrada Loryuenyong, Worranuch Nakhlo, Achanai Buasri",10_1016_j_cscee_2025_101144_full_text.md
"Synthesis, modification of Cu-BTC by graphene oxide and deep eutectic solvents for in situ IR chemisorption and physisorption of CO2",10.1016/j.jgsce.2025.205564,2025-02-08T00:00:00.000Z,False,205564,205564,S2949908925000287,2025-03-31,Gas Science and Engineering,https://www.sciencedirect.com/science/article/pii/S2949908925000287?dgcid=api_sd_search-api-endpoint,"Manal Yahya Mahzari, Sami Ullah, Mohammed Ali Assiri",10_1016_j_jgsce_2025_205564_full_text.md
Efficacy of zirconium hydroxide and cerium hydroxide for carbon dioxide adsorption and subsequent ethylene urea synthesis,10.1016/j.jclepro.2025.144956,2025-02-04T00:00:00.000Z,True,144956,144956,S0959652625003063,2025-02-15,Journal of Cleaner Production,https://www.sciencedirect.com/science/article/pii/S0959652625003063?dgcid=api_sd_search-api-endpoint,"Farzana Rahman, Yota kunii, Toshiaki Yoshioka",10_1016_j_jclepro_2025_144956_full_text.md
Enhanced CO₂ adsorption and selectivity in CNT and piperazine modified Ni-MOF-74 nanocomposites,10.1016/j.solidstatesciences.2025.107855,2025-02-04T00:00:00.000Z,False,107855,107855,S1293255825000330,2025-03-31,Solid State Sciences,https://www.sciencedirect.com/science/article/pii/S1293255825000330?dgcid=api_sd_search-api-endpoint,"Syed Turab Haider Zaidi, Aqeel Ahmad, Syed Muhammad Wajahat ul Hasnain",10_1016_j_solidstatesciences_2025_107855_full_text.md
Progress in advanced MOF-derived materials for the removal of organic and inorganic pollutants,10.1016/j.ccr.2025.216474,2025-02-03T00:00:00.000Z,False,216474,216474,S001085452500044X,2025-05-01,Coordination Chemistry Reviews,https://www.sciencedirect.com/science/article/pii/S001085452500044X?dgcid=api_sd_search-api-endpoint,"Yang Shi, Yang Yang, Zhongfeng Zhang",10_1016_j_ccr_2025_216474_full_text.md
"Quantification of temperature-dependent CO2 adsorption kinetics in Lewatit VP OC 1065, Purolite A110, and TIFSIX-3-Ni for direct air capture",10.1016/j.cherd.2025.01.048,2025-02-03T00:00:00.000Z,True,443,452,S0263876225000565,2025-03-31,Chemical Engineering Research and Design,https://www.sciencedirect.com/science/article/pii/S0263876225000565?dgcid=api_sd_search-api-endpoint,"May-Yin (Ashlyn) Low, David Danaci, Camille Petit",10_1016_j_cherd_2025_01_048_full_text.md
Solvent-free valorization of sugarcane bagasse fibers into nitrogen-doped microporous carbons: Efficient contenders for selective carbon dioxide capture,10.1016/j.jcou.2025.103033,2025-02-04T00:00:00.000Z,True,103033,103033,S2212982025000174,2025-02-28,Journal of CO2 Utilization,https://www.sciencedirect.com/science/article/pii/S2212982025000174?dgcid=api_sd_search-api-endpoint,"Urooj Kamran, Nasir Shezad, Farid Akhtar",10_1016_j_jcou_2025_103033_full_text.md
Potential of carbon micro/nanofibers derived from lignocellulose biomass valorisation for CO2 adsorption: A review on decarbonization biotechnology for climate change solutions,10.1016/j.ijbiomac.2025.140305,2025-01-25T00:00:00.000Z,False,140305,140305,S0141813025008542,2025-04-30,International Journal of Biological Macromolecules,https://www.sciencedirect.com/science/article/pii/S0141813025008542?dgcid=api_sd_search-api-endpoint,"Auliya Ilmiawati, Achmad Solikhin, Abdulrahman S. Alalawi",10_1016_j_ijbiomac_2025_140305_full_text.md
A comprehensive review on novel zeolite-based adsorbents for environmental pollutant,10.1016/j.hazadv.2025.100617,2025-01-25T00:00:00.000Z,True,100617,100617,S2772416625000294,2025-02-28,Journal of Hazardous Materials Advances,https://www.sciencedirect.com/science/article/pii/S2772416625000294?dgcid=api_sd_search-api-endpoint,"Fatemeh Bahmanzadegan, Ahad Ghaemi",10_1016_j_hazadv_2025_100617_full_text.md
Constructing of porous boron nitride granules for dynamic adsorption of CO2,10.1016/j.seppur.2025.131727,2025-01-21T00:00:00.000Z,False,131727,131727,S1383586625003247,2025-07-30,Separation and Purification Technology,https://www.sciencedirect.com/science/article/pii/S1383586625003247?dgcid=api_sd_search-api-endpoint,"Xiaomeng Jiao, Jing Lin, Yang Huang",10_1016_j_seppur_2025_131727_full_text.md
Synergistic performance of novel Cu-MOF-74@SBA-15 material in enhanced CO2 adsorption and transformation,10.1016/j.jcou.2025.103025,2025-01-21T00:00:00.000Z,True,103025,103025,S2212982025000095,2025-02-28,Journal of CO2 Utilization,https://www.sciencedirect.com/science/article/pii/S2212982025000095?dgcid=api_sd_search-api-endpoint,"Elena García-Rojas, Jesús Tapiador, Gisela Orcajo",10_1016_j_jcou_2025_103025_full_text.md
Microporous metal-organic framework of Gd-PTC as efficient carbon dioxide adsorbent,10.1016/j.matlet.2025.138091,2025-01-19T00:00:00.000Z,False,138091,138091,S0167577X2500120X,2025-04-01,Materials Letters,https://www.sciencedirect.com/science/article/pii/S0167577X2500120X?dgcid=api_sd_search-api-endpoint,"JiaXin Huang, MingYang Li, GeWen Yu",10_1016_j_matlet_2025_138091_full_text.md
Investigating the dual activation synergistic mechanism of KOH activation and sodium self-catalysis to uncover microporous mechanisms in CO2 adsorption,10.1016/j.jece.2025.115512,2025-01-19T00:00:00.000Z,False,115512,115512,S2213343725002076,2025-04-30,Journal of Environmental Chemical Engineering,https://www.sciencedirect.com/science/article/pii/S2213343725002076?dgcid=api_sd_search-api-endpoint,"Tao He, Xiaoben Zhao, Ye Li",10_1016_j_jece_2025_115512_full_text.md
